id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,bathrooms,property_type,beds,host_listings_count,instant_bookable,first_review,accommodates,review_scores_rating
41339,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,75,5,17,2018-09-28,0.18,1,222,1.0,Entire apartment,3.0,17.0,t,2013-05-15,5,93.0
42462,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.10739,-8.5943,Entire home/apt,73,30,39,2018-10-14,0.39,3,166,3.0,Entire apartment,5.0,3.0,t,2012-12-31,6,95.0
55111,PAREDES,Cete,41.17481,-8.35362,Entire home/apt,66,3,14,2019-09-07,0.21,3,0,1.0,Entire apartment,5.0,3.0,f,2015-07-18,5,96.0
73828,PAREDES,Cete,41.17449,-8.35426,Entire home/apt,66,3,8,2019-07-22,0.11,3,0,1.0,Entire apartment,5.0,3.0,f,2015-05-09,5,95.0
76436,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13951,-8.61453,Entire home/apt,137,2,184,2020-08-13,1.63,13,358,1.0,Entire apartment,2.0,20.0,t,2011-11-14,3,98.0
86388,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,20,2,136,2020-09-23,1.14,6,13,2.0,Private room in apartment,1.0,9.0,t,2011-04-26,2,95.0
87873,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,50,2,183,2020-08-03,1.72,3,361,1.5,Entire apartment,2.0,4.0,f,2012-05-14,4,96.0
91439,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,18,2,143,2020-02-07,1.2,6,13,2.0,Private room in apartment,2.0,9.0,t,2011-04-23,2,95.0
94701,PORTO,Bonfim,41.14707,-8.60109,Entire home/apt,42,3,285,2020-08-29,2.39,1,280,1.0,Entire apartment,1.0,3.0,t,2011-05-10,3,96.0
96394,VILA NOVA DE GAIA,Canidelo,41.1411,-8.65148,Entire home/apt,214,1,8,2020-11-06,0.15,1,364,2.0,Boat,2.0,1.0,f,2016-08-20,4,100.0
100661,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,18,2,71,2020-02-16,0.61,6,13,2.0,Private room in apartment,2.0,9.0,t,2011-07-04,2,96.0
104045,PORTO,Bonfim,41.15877,-8.59893,Entire home/apt,90,4,260,2020-03-07,2.23,1,356,3.0,Entire apartment,4.0,1.0,f,2011-07-25,8,91.0
105347,VILA NOVA DE GAIA,Oliveira do Douro,41.12961,-8.58427,Entire home/apt,50,3,119,2019-10-28,1.27,1,319,1.0,Entire guesthouse,3.0,1.0,f,2013-06-07,4,97.0
108153,ESPINHO,Anta e Guetim,40.99902,-8.6163,Private room,60,2,6,2019-08-29,0.11,3,365,1.0,Private room in guesthouse,0.0,4.0,f,2016-09-27,2,93.0
113586,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,Entire home/apt,35,4,196,2021-01-31,1.67,1,87,1.0,Entire apartment,2.0,1.0,t,2011-07-05,3,94.0
122362,PORTO,Paranhos,41.17563,-8.62323,Entire home/apt,70,2,63,2021-01-15,0.8,1,1,3.0,Entire house,6.0,1.0,t,2014-08-21,9,92.0
125872,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12424,-8.61346,Private room,35,1,222,2020-01-01,1.89,14,365,1.0,Private room in apartment,1.0,15.0,t,2011-06-19,2,93.0
127208,PORTO,Campanhã,41.1546,-8.58985,Private room,26,2,454,2020-07-23,4.01,1,1,2.0,Private room in house,3.0,1.0,t,2011-10-29,4,97.0
128557,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12557,-8.61512,Private room,27,1,358,2020-08-21,3.05,14,365,1.0,Private room in apartment,1.0,15.0,t,2011-06-22,2,93.0
131994,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,Entire home/apt,26,3,144,2020-10-31,1.23,2,157,1.0,Entire apartment,1.0,2.0,t,2011-06-29,2,94.0
133099,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,Entire home/apt,40,3,119,2020-07-04,1.02,2,0,1.0,Entire apartment,2.0,2.0,t,2011-07-12,4,96.0
133803,VILA NOVA DE GAIA,Canidelo,41.1277,-8.66321,Entire home/apt,87,3,177,2020-10-25,3.07,1,289,1.5,Entire condominium,5.0,1.0,t,2016-05-24,6,99.0
134570,VILA NOVA DE GAIA,Madalena,41.1041,-8.65946,Entire home/apt,150,2,74,2020-08-08,0.69,1,350,3.5,Entire apartment,4.0,1.0,f,2012-04-12,6,99.0
139425,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,51,1,187,2019-10-10,1.6,9,228,1.0,Entire apartment,4.0,15.0,t,2011-07-06,6,89.0
155127,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,Entire home/apt,54,3,76,2020-01-03,0.71,1,365,2.5,Entire apartment,5.0,1.0,t,2012-04-10,6,95.0
155723,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,Entire home/apt,80,3,6,2017-08-13,0.05,1,0,3.0,Entire house,3.0,1.0,f,2011-12-03,5,84.0
165699,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,Entire home/apt,600,2,102,2020-02-28,1.43,2,357,3.0,Entire apartment,5.0,2.0,t,2015-04-06,10,96.0
169321,PORTO,Bonfim,41.14536,-8.59792,Entire home/apt,80,3,139,2020-03-07,1.24,4,173,2.0,Entire apartment,4.0,5.0,t,2011-11-20,6,97.0
173827,PORTO,Lordelo do Ouro e Massarelos,41.16188,-8.66014,Entire home/apt,45,3,110,2020-03-08,1.56,3,269,1.0,Entire condominium,3.0,4.0,f,2015-05-05,4,92.0
186655,PORTO,Lordelo do Ouro e Massarelos,41.15206,-8.65228,Entire home/apt,65,2,206,2020-08-29,1.79,1,319,1.0,Entire townhouse,5.0,1.0,f,2011-08-30,6,95.0
186946,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,Entire home/apt,125,2,248,2020-09-25,2.17,2,337,1.0,Entire apartment,1.0,2.0,f,2011-09-21,2,97.0
191005,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15328,-8.60758,Entire home/apt,55,3,94,2021-01-25,0.9,2,270,2.0,Entire apartment,4.0,5.0,t,2012-07-12,6,93.0
207475,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13109,-8.61375,Entire home/apt,31,2,9,2018-01-03,0.09,1,0,1.0,Entire loft,1.0,1.0,f,2012-10-08,2,91.0
208147,VILA DO CONDE,Fornelo e Vairão,41.32667,-8.65956,Private room,30,4,36,2020-08-08,0.53,1,197,1.0,Private room in house,2.0,1.0,f,2015-07-03,2,99.0
241573,PORTO,Bonfim,41.14776,-8.60194,Entire home/apt,65,2,196,2020-08-23,1.73,19,361,1.0,Entire apartment,4.0,19.0,t,2011-11-02,5,92.0
241574,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14645,-8.60293,Entire home/apt,49,2,332,2019-10-19,2.95,19,347,1.0,Entire apartment,2.0,19.0,t,2011-11-20,3,94.0
241742,PORTO,Bonfim,41.14831,-8.6004,Entire home/apt,64,2,195,2020-12-20,1.76,19,349,1.5,Entire apartment,3.0,19.0,t,2012-01-02,5,93.0
241743,PORTO,Bonfim,41.14654,-8.59991,Entire home/apt,50,2,143,2020-08-11,1.29,19,331,1.0,Entire apartment,2.0,19.0,t,2012-01-04,3,92.0
248537,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14765,-8.61876,Entire home/apt,65,3,228,2020-09-10,2.05,1,365,0.0,Entire apartment,1.0,1.0,t,2012-01-04,4,97.0
250828,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1464,-8.60216,Entire home/apt,60,1,127,2020-09-21,1.82,7,50,1.0,Entire apartment,2.0,7.0,t,2015-05-20,5,83.0
264087,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15075,-8.6217,Entire home/apt,42,3,280,2021-01-14,2.54,2,180,1.0,Entire apartment,2.0,2.0,t,2012-01-30,3,98.0
